"Estimated gross national income per capita, male (2017 PPP $)"
"Dimension: Income/composition of resources"
"SDG 8.5 By 2030, achieve full and productive employment and decent work for all women and men,including for young people and persons with disabilities, and equal pay for work of equal value"
"Definition: Derived from the ratio of female to male wages, female and male shares of economically active population and gross national income (in 2017 purchasing power parity terms). See Technical note 3 at http://hdr.undp.org/sites/default/files/hdr2020_technical_notes.pdf for details."
"Source: HDRO calculations based on ILO (2020), UNDESA (2019a), World Bank (2020a), United Nations Statistics Division (2020b) and IMF (2020)."
""
"62"," Costa Rica","15648","","16110","","16608","","20015","","20119","","20540","","20644","","21342","","21584","","22927","","23396","","23389","","23501","a"
"43"," Croatia","19482","","21585","","27221","","27434","","27887","","27138","","27183","","26975","","28358","","28936","","30736","","31662","","32689","a"
"70"," Cuba","5023","","6189","","7712","","9559","","9866","","10167","","10443","","10528","","10964","","11002","","11228","","11496","","11567","a"
"33"," Cyprus","36315","","39369","","45773","","45619","","45851","","42361","","39132","","37861","","39537","","40756","","42559","","43695","","44533","a"
"27"," Czechia","29128","","31512","","37458","","40212","","40092","","40135","","39747","","40505","","42392","","43157","","44899","","46030","","47012","a"
"162"," Côte d'Ivoire","5161","","5352","","4820","","5374","","5001","","5241","","4970","","6102","","6478","","6737","","5954","","7240","","7531","a"
"10"," Denmark","52993","","58662","","63355","","60910","","61181","","61011","","61643","","62931","","63820","","64638","","65325","","66883","","68134","a"
"166"," Djibouti","2632","","2430","","2728","","3711","","4104","","4559","","5080","","5465","","5840","","6161","","6350","","6638","","7077","a"
"88"," Dominican Republic","10388","","12767","","13452","","16498","","16362","","16243","","16805","","17828","","19483","","21451","","20762","","21903","","22740","a"
"86"," Ecuador","11360","","10415","","12306","","13529","","14396","","14881","","15454","","15918","","15345","","14565","","14541","","14497","","14211","a"
"116"," Egypt","10408","","12831","","13653","","16400","","16029","","15576","","15494","","15589","","16098","","16493","","16637","","17449","","18039","a"
"124"," El Salvador","8748","","8768","","9010","","8891","","9167","","9376","","9003","","9468","","9744","","9928","","10100","","10242","","10501","a"
"145"," Equatorial Guinea","5163","","13232","","24437","","24430","","25164","","26905","","26048","","25507","","26266","","23900","","20410","","18301","","17135","a"
"180"," Eritrea","3342","","3858","","2918","","2444","","2628","","2789","","2898","","2961","","3015","","3037","","3154","","3247","","3309","a"
"29"," Estonia","16501","","21646","","31208","","31440","","33993","","35650","","36991","","38348","","39002","","40106","","42278","","44223","","45984","a"
"138"," Eswatini (Kingdom of)","6374","","6879","","8775","","8567","","9080","","9480","","9404","","9339","","9555","","8909","","8938","","8769","","8863","a"
"173"," Ethiopia","854","","904","","1142","","1594","","1722","","1818","","1952","","2090","","2237","","2381","","2529","","2630","","2771","a"
"93"," Fiji","13160","","14535","","14804","","13717","","13860","","14022","","15019","","15675","","16336","","16982","","17074","","17557","","17577","a"
"11"," Finland","37346","","48308","","54200","","54008","","55754","","53161","","53572","","53157","","52823","","54045","","55372","","56317","","56485","a"
"26"," France","45178","","51675","","53064","","51404","","52427","","51678","","51538","","52063","","52443","","52772","","54064","","54726","","55375","a"
"119"," Gabon","22802","","18892","","18859","","15577","","15361","","16638","","17170","","18676","","18028","","18070","","17968","","17684","","17791","a"
"172"," Gambia","2840","","2891","","2825","","3439","","3045","","3109","","3096","","2954","","2978","","2962","","3012","","3116","","3207","a"
"61"," Georgia","4552","","7112","","10957","","13592","","14388","","15685","","15973","","16728","","16793","","16926","","17775","","18853","","19864","a"
"6"," Germany","51859","","55287","","56383","","59148","","62000","","62053","","61483","","63265","","62716","","63365","","64544","","65456","","65599","a"
"138"," Ghana","2875","","3105","","3690","","4373","","4811","","5038","","5469","","5454","","5653","","5677","","5943","","6169","","6432","a"
"32"," Greece","36259","","40209","","44181","","42250","","37280","","35742","","34619","","35309","","34598","","34554","","35219","","35790","","36476","a"
"127"," Guatemala","8813","","9050","","9205","","9861","","10320","","9745","","10226","","10536","","10614","","10879","","11183","","11328","","11629","a"
"178"," Guinea","1746","","1901","","2049","","1997","","2043","","2119","","2076","","2137","","2197","","2375","","2559","","2487","","2554","a"
"175"," Guinea-Bissau","2124","","2059","","2017","","2063","","2194","","2098","","2057","","2136","","2187","","2268","","2282","","2300","","2361","a"
"122"," Guyana","6094","","7843","","8313","","10624","","11084","","11572","","11893","","12425","","12632","","12627","","12602","","12996","","13512","a"
"170"," Haiti","2201","","2236","","1952","","1920","","1993","","2028","","2062","","2093","","2086","","2093","","2093","","2095","","2016","a"
"132"," Honduras","5452","","5709","","5571","","5726","","6019","","6195","","6065","","5971","","6204","","6239","","6571","","6370","","6446","a"
"4"," Hong Kong, China (SAR)","47373","","49077","","57620","","67278","","72162","","70705","","73243","","73259","","74934","","78709","","82372","","84324","","82993","a,b"
"40"," Hungary","20954","","23416","","27770","","28624","","29283","","29383","","30335","","31084","","32532","","34334","","36483","","38440","","40316","a"
"4"," Iceland","36203","","44886","","52220","","43909","","46129","","47613","","53669","","54457","","56844","","62610","","63003","","63197","","62883","a"
"131"," India","3186","","3897","","4871","","6490","","6823","","7153","","7532","","8021","","8585","","9127","","9775","","10282","","10702","a"
"107"," Indonesia","7898","","7488","","9001","","10842","","11269","","11724","","12267","","12730","","12904","","13499","","13928","","14438","","14966","a"
"70"," Iran (Islamic Republic of)","16796","","17412","","19805","","23258","","23727","","21942","","21716","","22428","","21551","","23742","","24035","","22539","","20637","a"
"123"," Iraq","6480","","16227","","14246","","16200","","16635","","18401","","18764","","17907","","17995","","19780","","19195","","18631","","18975","a"
"2"," Ireland","40728","","55770","","64163","","54334","","52362","","51866","","54231","","58694","","65673","","71219","","74140","","78357","","81401","a,b"
"19"," Israel","36138","","37393","","38527","","44252","","45665","","45009","","45704","","47219","","46863","","48345","","49075","","50036","","50819","a"
"29"," Italy","55396","","60551","","61096","","55345","","55371","","53138","","52013","","51417","","51720","","52790","","53689","","54445","","54529","a"
"101"," Jamaica","11554","","11499","","11764","","11110","","11232","","11310","","11141","","11211","","11133","","10994","","11145","","11153","","11163","a"
"19"," Japan","46308","","51250","","54017","","52422","","52353","","52975","","54028","","54013","","54732","","54399","","55456","","55434","","55869","a"
"102"," Jordan","13424","","14834","","18176","","18437","","17900","","17377","","17154","","16873","","16622","","16192","","16169","","16162","","16234","a"
"51"," Kazakhstan","10615","","13059","","20187","","22800","","22895","","23869","","26176","","27653","","29457","","28105","","28395","","28403","","29296","a"
"143"," Kenya","3350","","3316","","3614","","3855","","3986","","4030","","4121","","4210","","4337","","4463","","4532","","4702","","4829","a"
"23"," Korea (Republic of)","26338","","33009","","40907","","47678","","49234","","50150","","51268","","52571","","53850","","54918","","56379","","56865","","58309","a"
"64"," Kuwait","105274","","90885","","113911","","86981","","89465","","91575","","87624","","84272","","81398","","82204","","77126","","77021","","75840","a,b"
"120"," Kyrgyzstan","3091","","3669","","4404","","5162","","5126","","5548","","5920","","6110","","6141","","6240","","6613","","6945","","6798","a"
"137"," Lao People's Democratic Republic","2625","","3102","","4006","","5488","","5795","","6248","","6700","","7185","","7597","","8014","","8352","","8739","","9013","a"
"37"," Latvia","12298","","16481","","25493","","25234","","27259","","28506","","29704","","30730","","31885","","32520","","33501","","34635","","35584","a"
"92"," Lebanon","22590","","23829","","23012","","30266","","29307","","28296","","27516","","26551","","25517","","25050","","25209","","24511","","23124","a"
"165"," Lesotho","2828","","3359","","3403","","3628","","3671","","3763","","3829","","3832","","3767","","3920","","3848","","3804","","3849","a"
"175"," Liberia","599","","1837","","1355","","1331","","1428","","1352","","1528","","1348","","1476","","1408","","1398","","1338","","1275","a"
"105"," Libya","97262","","93831","","108779","","133228","","51354","","111958","","54321","","26363","","14042","","11618","","19151","","21741","","21999","a"
"34"," Lithuania","13612","","16841","","26051","","27609","","29409","","30768","","32965","","34727","","34664","","35932","","37879","","39555","","41389","a"
"23"," Luxembourg","113042","","127707","","130394","","94386","","95932","","92826","","90113","","83128","","88974","","88677","","87631","","86298","","86488","a,b"
"164"," Madagascar","1757","","1849","","1784","","1831","","1810","","1788","","1779","","1809","","1634","","1817","","1856","","1888","","1921","a"
"174"," Malawi","1491","","1650","","910","","1106","","1131","","1156","","1176","","1210","","1197","","1230","","1212","","1216","","1237","a"
"62"," Malaysia","18914","","20382","","24037","","25545","","26444","","26835","","27316","","28417","","29482","","30301","","31822","","32713","","33877","a"
"95"," Maldives","13988","","17113","","16370","","20216","","20974","","20466","","20876","","21344","","21081","","21469","","21861","","22484","","22931","a"
