"Estimated gross national income per capita, female (2017 PPP $)"
"Dimension: Income/composition of resources"
"SDG 8.5 By 2030, achieve full and productive employment and decent work for all women and men,including for young people and persons with disabilities, and equal pay for work of equal value"
"Definition: Derived from the ratio of female to male wages, female and male shares of economically active population and gross national income (in 2017 purchasing power parity terms). See Technical note 3 at http://hdr.undp.org/sites/default/files/hdr2020_technical_notes.pdf for details."
"Source: HDRO calculations based on ILO (2020), UNDESA (2019a), World Bank (2020a), United Nations Statistics Division (2020b) and IMF (2020)."
""
"43"," Croatia","10442","","14294","","18842","","19470","","19129","","18902","","19370","","19665","","20540","","20804","","22002","","22961","","23775","a"
"70"," Cuba","2085","","2525","","3350","","4767","","4952","","5099","","5233","","5262","","5505","","5517","","5586","","5698","","5714","a"
"33"," Cyprus","17827","","20620","","25348","","29784","","30985","","28341","","26752","","26516","","28766","","29370","","30658","","31215","","31881","a"
"27"," Czechia","16421","","17989","","21098","","22211","","23198","","23478","","23644","","23958","","25342","","26254","","27636","","28837","","29480","a"
"162"," Côte d'Ivoire","2142","","2294","","2190","","1621","","1532","","1865","","2511","","1960","","2116","","2239","","3394","","2446","","2561","a"
"10"," Denmark","32016","","37473","","40889","","42784","","43915","","44075","","44912","","45312","","45582","","46756","","47242","","48324","","49296","a"
"166"," Djibouti","1158","","1103","","1313","","2142","","2389","","2663","","2969","","3195","","3422","","3597","","3714","","3900","","4151","a"
"88"," Dominican Republic","3682","","5068","","6008","","8130","","8676","","9155","","9316","","9789","","9898","","9468","","11118","","11952","","12449","a"
"86"," Ecuador","5165","","4889","","5891","","6831","","7206","","7635","","7829","","7856","","8033","","8121","","8174","","8011","","7874","a"
"116"," Egypt","2577","","2662","","2998","","3742","","4161","","4396","","4490","","4491","","4544","","4671","","4836","","4573","","4753","a"
"124"," El Salvador","3692","","4207","","4461","","5534","","5733","","5723","","6239","","6004","","6009","","6063","","6114","","6286","","6471","a"
"145"," Equatorial Guinea","2807","","7307","","13372","","14149","","14591","","15625","","15130","","14798","","15216","","13865","","11863","","10644","","9949","a"
"180"," Eritrea","2004","","2391","","1948","","1725","","1841","","1941","","2004","","2036","","2063","","2083","","2165","","2231","","2275","a"
"29"," Estonia","9755","","13393","","20033","","19069","","20572","","21376","","22005","","22316","","23083","","23527","","24805","","26100","","27086","a"
